employer num employees,occurrences,employee_frequently
141,1,0 - 10
776,1,0 - 10
791,1,0 - 10
812,1,0 - 10
851,1,0 - 10
854,1,0 - 10
863,1,0 - 10
887,1,0 - 10
908,1,0 - 10
760,1,0 - 10
918,1,0 - 10
950,1,0 - 10
951,1,0 - 10
985,1,0 - 10
1002,1,0 - 10
1020,1,0 - 10
1022,1,0 - 10
1027,1,0 - 10
1030,1,0 - 10
922,1,0 - 10
1050,1,0 - 10
752,1,0 - 10
742,1,0 - 10
614,1,0 - 10
616,1,0 - 10
623,1,0 - 10
624,1,0 - 10
630,1,0 - 10
636,1,0 - 10
648,1,0 - 10
660,1,0 - 10
746,1,0 - 10
682,1,0 - 10
703,1,0 - 10
704,1,0 - 10
711,1,0 - 10
728,1,0 - 10
732,1,0 - 10
734,1,0 - 10
737,1,0 - 10
740,1,0 - 10
694,1,0 - 10
613,1,0 - 10
1072,1,0 - 10
1150,1,0 - 10
1512,1,0 - 10
1574,1,0 - 10
1585,1,0 - 10
1630,1,0 - 10
1660,1,0 - 10
1670,1,0 - 10
1676,1,0 - 10
1690,1,0 - 10
1510,1,0 - 10
1695,1,0 - 10
1730,1,0 - 10
1732,1,0 - 10
1737,1,0 - 10
1740,1,0 - 10
1741,1,0 - 10
1763,1,0 - 10
1799,1,0 - 10
1906,1,0 - 10
1713,1,0 - 10
1110,1,0 - 10
1500,1,0 - 10
1473,1,0 - 10
1177,1,0 - 10
1199,1,0 - 10
1215,1,0 - 10
1232,1,0 - 10
1238,1,0 - 10
1252,1,0 - 10
1254,1,0 - 10
1266,1,0 - 10
1480,1,0 - 10
1292,1,0 - 10
1300,1,0 - 10
1311,1,0 - 10
1350,1,0 - 10
1351,1,0 - 10
1364,1,0 - 10
1395,1,0 - 10
1398,1,0 - 10
1441,1,0 - 10
1295,1,0 - 10
1913,1,0 - 10
596,1,0 - 10
582,1,0 - 10
233,1,0 - 10
243,1,0 - 10
245,1,0 - 10
253,1,0 - 10
254,1,0 - 10
256,1,0 - 10
260,1,0 - 10
267,1,0 - 10
227,1,0 - 10
273,1,0 - 10
276,1,0 - 10
284,1,0 - 10
285,1,0 - 10
295,1,0 - 10
302,1,0 - 10
305,1,0 - 10
312,1,0 - 10
314,1,0 - 10
275,1,0 - 10
320,1,0 - 10
226,1,0 - 10
218,1,0 - 10
145,1,0 - 10
147,1,0 - 10
148,1,0 - 10
149,1,0 - 10
156,1,0 - 10
159,1,0 - 10
162,1,0 - 10
170,1,0 - 10
225,1,0 - 10
171,1,0 - 10
176,1,0 - 10
181,1,0 - 10
188,1,0 - 10
191,1,0 - 10
203,1,0 - 10
205,1,0 - 10
208,1,0 - 10
216,1,0 - 10
175,1,0 - 10
588,1,0 - 10
321,1,0 - 10
327,1,0 - 10
443,1,0 - 10
449,1,0 - 10
459,1,0 - 10
460,1,0 - 10
461,1,0 - 10
464,1,0 - 10
467,1,0 - 10
475,1,0 - 10
439,1,0 - 10
479,1,0 - 10
506,1,0 - 10
519,1,0 - 10
529,1,0 - 10
534,1,0 - 10
556,1,0 - 10
560,1,0 - 10
565,1,0 - 10
580,1,0 - 10
505,1,0 - 10
325,1,0 - 10
428,1,0 - 10
420,1,0 - 10
330,1,0 - 10
331,1,0 - 10
340,1,0 - 10
347,1,0 - 10
351,1,0 - 10
353,1,0 - 10
365,1,0 - 10
368,1,0 - 10
426,1,0 - 10
370,1,0 - 10
377,1,0 - 10
380,1,0 - 10
387,1,0 - 10
388,1,0 - 10
389,1,0 - 10
399,1,0 - 10
418,1,0 - 10
419,1,0 - 10
372,1,0 - 10
1924,1,0 - 10
1950,1,0 - 10
1952,1,0 - 10
13923,1,0 - 10
13948,1,0 - 10
15382,1,0 - 10
15998,1,0 - 10
16000,1,0 - 10
16707,1,0 - 10
17552,1,0 - 10
22051,1,0 - 10
13730,1,0 - 10
25000,1,0 - 10
28500,1,0 - 10
29977,1,0 - 10
29984,1,0 - 10
30877,1,0 - 10
33000,1,0 - 10
33400,1,0 - 10
34719,1,0 - 10
35615,1,0 - 10
26527,1,0 - 10
38000,1,0 - 10
12700,1,0 - 10
12200,1,0 - 10
8792,1,0 - 10
8958,1,0 - 10
8962,1,0 - 10
9036,1,0 - 10
9062,1,0 - 10
9225,1,0 - 10
9337,1,0 - 10
9625,1,0 - 10
12400,1,0 - 10
9872,1,0 - 10
10800,1,0 - 10
10900,1,0 - 10
11300,1,0 - 10
11600,1,0 - 10
11650,1,0 - 10
11900,1,0 - 10
11983,1,0 - 10
12126,1,0 - 10
10671,1,0 - 10
8700,1,0 - 10
38400,1,0 - 10
39331,1,0 - 10
128100,1,0 - 10
136000,1,0 - 10
138000,1,0 - 10
139000,1,0 - 10
140000,1,0 - 10
141000,1,0 - 10
152000,1,0 - 10
160000,1,0 - 10
122655,1,0 - 10
161000,1,0 - 10
178000,1,0 - 10
181000,1,0 - 10
200000,1,0 - 10
202000,1,0 - 10
251196,1,0 - 10
266000,1,0 - 10
269000,1,0 - 10
358000,1,0 - 10
175000,1,0 - 10
39000,1,0 - 10
113000,1,0 - 10
109305,1,0 - 10
45000,1,0 - 10
46000,1,0 - 10
46818,1,0 - 10
47395,1,0 - 10
48600,1,0 - 10
49000,1,0 - 10
49496,1,0 - 10
52000,1,0 - 10
109400,1,0 - 10
64000,1,0 - 10
67100,1,0 - 10
68000,1,0 - 10
80000,1,0 - 10
84990,1,0 - 10
87900,1,0 - 10
88400,1,0 - 10
97531,1,0 - 10
107000,1,0 - 10
66400,1,0 - 10
8507,1,0 - 10
8416,1,0 - 10
7924,1,0 - 10
3033,1,0 - 10
3051,1,0 - 10
3100,1,0 - 10
3125,1,0 - 10
3148,1,0 - 10
3300,1,0 - 10
3302,1,0 - 10
3340,1,0 - 10
2924,1,0 - 10
3346,1,0 - 10
3375,1,0 - 10
3393,1,0 - 10
3405,1,0 - 10
3522,1,0 - 10
3655,1,0 - 10
3657,1,0 - 10
3694,1,0 - 10
3707,1,0 - 10
3347,1,0 - 10
3800,1,0 - 10
2900,1,0 - 10
2789,1,0 - 10
2050,1,0 - 10
2100,1,0 - 10
2102,1,0 - 10
2130,1,0 - 10
2136,1,0 - 10
2139,1,0 - 10
2168,1,0 - 10
2213,1,0 - 10
2803,1,0 - 10
2300,1,0 - 10
2380,1,0 - 10
2400,1,0 - 10
2473,1,0 - 10
2490,1,0 - 10
2672,1,0 - 10
2712,1,0 - 10
2720,1,0 - 10
2736,1,0 - 10
2350,1,0 - 10
3826,1,0 - 10
3840,1,0 - 10
3963,1,0 - 10
5777,1,0 - 10
5875,1,0 - 10
5949,1,0 - 10
5982,1,0 - 10
6034,1,0 - 10
6090,1,0 - 10
6100,1,0 - 10
6200,1,0 - 10
5729,1,0 - 10
6300,1,0 - 10
6324,1,0 - 10
6400,1,0 - 10
6490,1,0 - 10
6800,1,0 - 10
7086,1,0 - 10
7100,1,0 - 10
7648,1,0 - 10
7700,1,0 - 10
6311,1,0 - 10
5610,1,0 - 10
5592,1,0 - 10
5550,1,0 - 10
4150,1,0 - 10
4200,1,0 - 10
4275,1,0 - 10
4339,1,0 - 10
4348,1,0 - 10
4390,1,0 - 10
4500,1,0 - 10
4520,1,0 - 10
4743,1,0 - 10
4777,1,0 - 10
4779,1,0 - 10
4797,1,0 - 10
4816,1,0 - 10
4860,1,0 - 10
4900,1,0 - 10
5005,1,0 - 10
5411,1,0 - 10
5479,1,0 - 10
5549,1,0 - 10
144,1,0 - 10
142,1,0 - 10
2200000,1,0 - 10
136,1,0 - 10
1250,4,0 - 10
2000,4,0 - 10
2199,4,0 - 10
2800,4,0 - 10
3000,4,0 - 10
5300,4,0 - 10
6337,4,0 - 10
1100,4,0 - 10
7000,4,0 - 10
8696,4,0 - 10
8842,4,0 - 10
9454,4,0 - 10
9500,4,0 - 10
13000,4,0 - 10
21000,4,0 - 10
26800,4,0 - 10
8500,4,0 - 10
392,4,0 - 10
190,4,0 - 10
140,4,0 - 10
100000,5,0 - 10
115000,5,0 - 10
230800,5,0 - 10
36,4,0 - 10
41,4,0 - 10
62,4,0 - 10
65,4,0 - 10
80,4,0 - 10
82,4,0 - 10
86,4,0 - 10
88,4,0 - 10
90,4,0 - 10
100,4,0 - 10
105,4,0 - 10
110,4,0 - 10
121,4,0 - 10
125,4,0 - 10
57750,4,0 - 10
58000,4,0 - 10
71833,4,0 - 10
1400000,4,0 - 10
167,3,0 - 10
172,3,0 - 10
185,3,0 - 10
230,3,0 - 10
248,3,0 - 10
290,3,0 - 10
382,3,0 - 10
370000,1,0 - 10
625,3,0 - 10
650,3,0 - 10
789,3,0 - 10
850,3,0 - 10
1024,3,0 - 10
1227,3,0 - 10
1342,3,0 - 10
1600,3,0 - 10
1750,3,0 - 10
157,3,0 - 10
30000,5,0 - 10
138,3,0 - 10
115,3,0 - 10
13,3,0 - 10
21,3,0 - 10
27,3,0 - 10
38,3,0 - 10
49,3,0 - 10
54,3,0 - 10
57,3,0 - 10
63,3,0 - 10
66,3,0 - 10
67,3,0 - 10
70,3,0 - 10
73,3,0 - 10
74,3,0 - 10
83,3,0 - 10
92,3,0 - 10
94,3,0 - 10
95,3,0 - 10
120,3,0 - 10
1786,3,0 - 10
14000,5,0 - 10
12500,5,0 - 10
12000,8,0 - 10
48151,8,0 - 10
66639,8,0 - 10
1,7,0 - 10
12,7,0 - 10
16,7,0 - 10
18,7,0 - 10
1800,8,0 - 10
22,7,0 - 10
26,7,0 - 10
28,7,0 - 10
30,7,0 - 10
60,7,0 - 10
75,7,0 - 10
130,7,0 - 10
450,7,0 - 10
24,7,0 - 10
48,8,0 - 10
40,8,0 - 10
37,8,0 - 10
7,10,0 - 10
9,10,0 - 10
55,10,0 - 10
19963,10,0 - 10
22500,10,0 - 10
14,9,0 - 10
42,9,0 - 10
500,9,0 - 10
5000,9,0 - 10
20000,9,0 - 10
27800,9,0 - 10
132000,9,0 - 10
4,8,0 - 10
8,8,0 - 10
15,8,0 - 10
17,8,0 - 10
32,8,0 - 10
700,7,0 - 10
720,7,0 - 10
2500,7,0 - 10
8200,7,0 - 10
58,5,0 - 10
68,5,0 - 10
78,5,0 - 10
85,5,0 - 10
101,5,0 - 10
108,5,0 - 10
135,5,0 - 10
220,5,0 - 10
400,5,0 - 10
800,5,0 - 10
900,5,0 - 10
1400,5,0 - 10
4000,5,0 - 10
7185,5,0 - 10
8000,5,0 - 10
10000,5,0 - 10
12493,5,0 - 10
50,5,0 - 10
12550,5,0 - 10
46,5,0 - 10
31,5,0 - 10
11000,7,0 - 10
18500,7,0 - 10
43000,7,0 - 10
53861,7,0 - 10
11,6,0 - 10
19,6,0 - 10
29,6,0 - 10
47,6,0 - 10
77,6,0 - 10
600,6,0 - 10
1200,6,0 - 10
3500,6,0 - 10
6000,6,0 - 10
6500,6,0 - 10
14551,6,0 - 10
15000,6,0 - 10
17000,6,0 - 10
39,5,0 - 10
5200,3,0 - 10
572,3,0 - 10
5600,3,0 - 10
3902,2,0 - 10
4098,2,0 - 10
4600,2,0 - 10
4800,2,0 - 10
6275,2,0 - 10
6392,2,0 - 10
7300,2,0 - 10
3600,2,0 - 10
7464,2,0 - 10
7609,2,0 - 10
8138,2,0 - 10
8871,2,0 - 10
9061,2,0 - 10
9300,2,0 - 10
9700,2,0 - 10
10500,2,0 - 10
7500,2,0 - 10
3259,2,0 - 10
3200,2,0 - 10
2940,2,0 - 10
564,2,0 - 10
612,2,0 - 10
750,2,0 - 10
766,2,0 - 10
824,2,0 - 10
828,2,0 - 10
870,2,0 - 10
875,2,0 - 10
1000,2,0 - 10
5500,3,0 - 10
1783,2,0 - 10
1900,2,0 - 10
1979,2,0 - 10
2142,2,0 - 10
2531,2,0 - 10
2650,2,0 - 10
2715,2,0 - 10
10941,2,0 - 10
11273,2,0 - 10
11794,2,0 - 10
12392,2,0 - 10
61,1,0 - 10
71,1,0 - 10
76,1,0 - 10
84,1,0 - 10
91,1,0 - 10
93,1,0 - 10
96,1,0 - 10
99,1,0 - 10
106,1,0 - 10
107,1,0 - 10
111,1,0 - 10
116,1,0 - 10
117,1,0 - 10
119,1,0 - 10
123,1,0 - 10
128,1,0 - 10
131,1,0 - 10
56,1,0 - 10
562,2,0 - 10
53,1,0 - 10
331000,2,0 - 10
15500,2,0 - 10
15935,2,0 - 10
19889,2,0 - 10
20500,2,0 - 10
22000,2,0 - 10
26900,2,0 - 10
32209,2,0 - 10
39800,2,0 - 10
53600,2,0 - 10
72800,2,0 - 10
74042,2,0 - 10
79000,2,0 - 10
122000,2,0 - 10
135000,2,0 - 10
170000,2,0 - 10
243000,2,0 - 10
323000,2,0 - 10
51,1,0 - 10
550,2,0 - 10
1495,2,0 - 10
512,2,0 - 10
54000,3,0 - 10
55000,3,0 - 10
61254,3,0 - 10
61814,3,0 - 10
111300,3,0 - 10
120000,3,0 - 10
217000,3,0 - 10
50840,3,0 - 10
527,2,0 - 10
270000,3,0 - 10
400000,3,0 - 10
0,2,0 - 10
33,2,0 - 10
34,2,0 - 10
43,2,0 - 10
44,2,0 - 10
256420,3,0 - 10
50000,3,0 - 10
45400,3,0 - 10
32000,3,0 - 10
7551,3,0 - 10
8414,3,0 - 10
9436,3,0 - 10
9770,3,0 - 10
10389,3,0 - 10
10400,3,0 - 10
11661,3,0 - 10
12300,3,0 - 10
13938,3,0 - 10
14600,3,0 - 10
15324,3,0 - 10
16866,3,0 - 10
18000,3,0 - 10
23000,3,0 - 10
24500,3,0 - 10
25300,3,0 - 10
29280,3,0 - 10
52,2,0 - 10
64,2,0 - 10
239000,3,0 - 10
72,2,0 - 10
198,2,0 - 10
217,2,0 - 10
231,2,0 - 10
235,2,0 - 10
238,2,0 - 10
244,2,0 - 10
249,2,0 - 10
250,2,0 - 10
271,2,0 - 10
69,2,0 - 10
300,2,0 - 10
310,2,0 - 10
350,2,0 - 10
435,2,0 - 10
470,2,0 - 10
476,2,0 - 10
480,2,0 - 10
192,2,0 - 10
187,2,0 - 10
291,2,0 - 10
182,2,0 - 10
186,2,0 - 10
89,2,0 - 10
97,2,0 - 10
102,2,0 - 10
103,2,0 - 10
114,2,0 - 10
118,2,0 - 10
122,2,0 - 10
104,2,0 - 10
139,2,0 - 10
143,2,0 - 10
150,2,0 - 10
155,2,0 - 10
158,2,0 - 10
160,2,0 - 10
165,2,0 - 10
134,2,0 - 10
180,2,0 - 10
117300,17,11 - 20
46544,17,11 - 20
2,17,11 - 20
5,19,11 - 20
3,18,11 - 20
154100,17,11 - 20
9000,18,11 - 20
6,16,11 - 20
23,11,11 - 20
92600,14,11 - 20
45,13,11 - 20
200,13,11 - 20
25,12,11 - 20
20,11,11 - 20
35,11,11 - 20
31000,11,11 - 20
19000,14,11 - 20
47756,22,21 - 30
10,23,21 - 30
40000,25,21 - 30
60000,39,31 - 40
35000,47,41 - 52
29000,52,41 - 52
